Evsahibi,Deplasman,EVG,DEPG,MS,İEG,İDG,İS,ES,DS,EKS,DKS,EF,DF,EK,DK,ESK,DSK,EKK,DKK
Ankaragucu,Galatasaray,1,3,2,1,2,2,3,12,1,4,15,9,2,4,2,2,0,0
Fenerbahce,Bursaspor,2,1,1,2,1,1,7,6,2,3,12,15,4,4,3,3,0,0
Rizespor,Kasimpasa,2,3,2,1,0,1,8,14,5,6,13,14,3,6,2,1,0,0
Sivasspor,Alanyaspor,1,0,1,0,0,3,12,9,5,3,13,16,4,7,1,3,0,0
Besiktas,Akhisar Belediyespor,2,1,1,2,0,1,13,8,4,4,17,16,12,3,3,6,0,0
Buyuksehyr,Trabzonspor,2,0,1,1,0,1,15,8,5,0,16,15,9,2,2,2,0,0
Goztep,Yeni Malatyaspor,1,3,2,0,1,2,10,6,4,3,11,11,4,0,4,5,2,1
Konyaspor,Erzurum BB,3,2,1,2,1,1,16,6,9,4,11,14,4,7,1,2,0,0
Kayserispor,Antalyaspor,2,0,1,1,0,1,8,4,5,1,16,8,6,2,0,2,0,1
Trabzonspor,Sivasspor,3,1,1,3,1,1,10,12,8,3,12,19,8,5,1,4,0,0
Antalyaspor,Konyaspor,3,3,3,1,2,2,12,10,9,4,17,19,7,3,1,5,0,1
Bursaspor,Kayserispor,0,0,3,0,0,3,9,4,2,0,11,12,6,4,2,2,0,0
Yeni Malatyaspor,Fenerbahce,1,0,1,0,0,3,14,13,2,4,14,9,2,3,2,0,0,0
Akhisar Belediyespor,Rizespor,1,1,3,0,1,2,8,24,3,10,18,14,4,3,0,1,1,0
Alanyaspor,Ankaragucu,0,2,2,0,0,3,19,5,5,4,19,15,6,2,3,6,1,1
Erzurum BB,Besiktas,1,3,2,1,0,1,10,10,3,6,11,7,9,9,0,3,0,0
Galatasaray,Goztep,1,0,1,1,0,1,11,9,5,2,13,14,6,6,4,2,0,0
Kasimpasa,Buyuksehyr,2,1,1,0,0,3,13,15,3,5,18,16,5,2,0,3,0,0
Rizespor,Erzurum BB,0,0,3,0,0,3,9,11,2,3,9,20,4,7,1,1,0,0
Ankaragucu,Trabzonspor,2,2,3,1,1,3,15,9,6,7,11,12,5,9,2,2,0,0
Goztep,Fenerbahce,1,0,1,0,0,3,5,9,1,1,16,16,4,5,2,1,0,0
Kayserispor,Yeni Malatyaspor,0,0,3,0,0,3,13,6,5,2,15,13,4,6,2,1,0,0
Besiktas,Antalyaspor,2,3,2,1,3,2,28,7,10,5,15,19,12,1,2,7,0,0
Konyaspor,Bursaspor,1,1,3,1,1,3,16,12,6,4,18,14,11,6,2,3,0,0
Sivasspor,Kasimpasa,0,3,2,0,1,2,31,9,3,6,8,9,7,2,0,3,0,0
Buyuksehyr,Akhisar Belediyespor,3,1,1,1,1,3,19,9,6,2,9,14,6,2,2,4,0,0
Galatasaray,Alanyaspor,6,0,1,1,0,1,17,4,9,1,12,7,4,1,0,1,0,0
Yeni Malatyaspor,Konyaspor,0,1,2,0,1,2,11,6,3,4,9,23,3,1,2,4,0,0
Akhisar Belediyespor,Sivasspor,1,1,3,0,0,3,22,11,6,4,19,17,5,1,1,3,0,0
Alanyaspor,Goztep,1,0,1,0,0,3,9,10,2,2,16,12,5,8,2,2,0,0
Fenerbahce,Kayserispor,2,3,2,1,0,1,15,20,4,11,11,12,4,4,4,2,0,1
Trabzonspor,Galatasaray,4,0,1,3,0,1,13,8,6,0,11,7,1,1,2,1,0,1
Antalyaspor,Rizespor,2,1,1,0,1,2,13,6,4,2,12,13,5,5,3,3,1,1
Bursaspor,Besiktas,1,1,3,0,0,3,9,11,3,4,14,15,4,3,2,2,0,0
Erzurum BB,Buyuksehyr,0,1,2,0,1,2,16,5,3,2,13,11,8,2,3,1,0,0
Kasimpasa,Ankaragucu,2,1,1,1,0,1,10,15,4,7,8,11,5,6,1,3,0,0
Galatasaray,Kasimpasa,4,1,1,0,0,3,15,16,5,6,11,14,4,7,1,2,0,0
Ankaragucu,Akhisar Belediyespor,1,0,1,1,0,1,7,12,1,4,19,11,2,12,2,3,0,0
Besiktas,Yeni Malatyaspor,2,1,1,0,0,3,17,10,6,6,14,15,10,5,3,3,1,0
Goztep,Kayserispor,2,0,1,2,0,1,16,9,6,1,11,10,4,1,1,2,0,0
Buyuksehyr,Antalyaspor,4,0,1,1,0,1,15,8,6,3,11,8,4,2,0,2,0,0
Konyaspor,Fenerbahce,0,1,2,0,0,3,15,10,6,2,10,11,6,6,3,1,0,0
Rizespor,Bursaspor,1,1,3,0,1,2,12,9,5,4,25,19,3,3,0,2,0,0
Sivasspor,Erzurum BB,2,2,3,1,1,3,20,11,7,5,12,10,3,2,0,2,0,0
Alanyaspor,Trabzonspor,1,0,1,1,0,1,16,11,7,5,19,9,4,6,1,2,0,0
Bursaspor,Buyuksehyr,0,0,3,0,0,3,13,7,4,1,10,14,1,4,1,4,0,0
Erzurum BB,Ankaragucu,0,1,2,0,0,3,25,3,8,1,14,8,12,2,3,2,0,1
Kayserispor,Konyaspor,0,2,2,0,2,2,17,8,4,5,18,7,6,5,1,2,0,0
Trabzonspor,Goztep,1,2,2,0,2,2,13,5,5,2,12,12,4,2,2,4,0,0
Yeni Malatyaspor,Rizespor,1,0,1,1,0,1,23,7,9,1,17,15,10,3,2,3,0,1
Akhisar Belediyespor,Galatasaray,3,0,1,0,0,3,10,12,5,3,15,13,1,6,4,3,0,0
Antalyaspor,Sivasspor,2,1,1,2,1,1,6,15,3,2,14,7,6,4,4,1,0,0
Kasimpasa,Alanyaspor,1,2,2,0,1,2,24,8,6,3,14,17,7,0,2,3,0,0
Fenerbahce,Besiktas,1,1,3,0,1,2,13,11,7,4,13,16,2,7,1,5,0,1
Galatasaray,Erzurum BB,1,0,1,0,0,3,12,10,7,1,12,12,10,6,3,2,0,0
